,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name,Completed Survey,week,Panel Respondent,week1,week2,full_sample,close_interactions,any_close_interactions,ever_in_group,someone_working,race
2999,2910,2020-04-06,Yes,Yes,0.235315,Very Good,91,Male,2.0,None,1.0,1.0,No,,0.0,No,No,No,No,,4.0,Yes,No,No,Most are underestimating the risks,No real changes,No,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,4.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,HALIFAX,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
3000,2911,2020-04-06,Yes,Yes,0.24354699999999999,Good,73,Female,1.0,None,6.0,6.0,No,,0.0,No,No,No,No,Yes,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,CABARRUS,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
3001,883,2020-04-06,Yes,Yes,0.806467,Very Good,60,Male,2.0,None,6.0,1.0,Yes,,0.0,Yes,No,Yes,No,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,0,White,IVR,Caucasian,517.0,1.0,5.0,Republican,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,MECKLENBURG,True,week2,Yes,False,True,1,5.0,1.0,0.0,1.0,White
3002,2912,2020-04-06,Yes,Yes,0.569072,Very Good,62,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,544.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,CURRITUCK,False,week2,No,False,True,1,,,,,White
3003,2913,2020-04-06,No,,0.32140599999999997,Very Good,77,Male,2.0,None,2.0,2.0,No,,0.0,Yes,,,,,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
3004,2914,2020-04-06,Yes,Yes,3.4466900000000003,Poor,37,Male,4.0,Two,4.0,2.0,Yes,No,0.0,Yes,No,No,No,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,No,White,IVR,Caucasian,545.0,1.0,4.0,Republican,,,3.0,,3.0,,,,,,,,,,1.0,4.0,1.0,ONSLOW,True,week2,No,False,True,1,2.0,1.0,0.0,1.0,White
3005,2915,2020-04-06,No,,1.7036099999999998,Good,50,Female,2.0,None,1.0,1.0,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week2,No,False,True,1,0.0,0.0,0.0,1.0,White
3006,2916,2020-04-06,Yes,Yes,0.44741499999999995,Good,56,Female,3.0,None,0.0,,Yes,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,1.0,5.0,Other / Unaffiliated,2.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,FRANKLIN,False,week2,No,False,True,1,0.0,0.0,,1.0,White
3007,2917,2020-04-06,Yes,Yes,2.70985,Good,39,Male,5.0,Three or more,3.0,2.0,No,No,0.0,Yes,Yes,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,3.0,5.0,Other / Unaffiliated,3.0,5.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,3.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,PERSON,True,week2,No,False,True,1,1.0,1.0,0.0,0.0,White
3008,2918,2020-04-06,Yes,Yes,0.590448,Very Good,48,Male,3.0,None,5.0,3.0,Yes,,0.0,Yes,Yes,Yes,No,No,9.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,4.0,Republican,2.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,DURHAM,True,week2,No,False,True,1,2.0,1.0,0.0,1.0,White
3009,2919,2020-04-06,No,,0.18874000000000002,Good,78,Female,1.0,None,1.0,1.0,No,,0.0,No,No,No,No,Yes,9.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,No,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,Black
3010,2920,2020-04-06,Yes,Yes,0.20422200000000001,Good,67,Female,3.0,Two,1.0,1.0,No,Yes,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,RANDOLPH,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
3011,2921,2020-04-06,Yes,Yes,0.473584,Very Good,63,Female,,,,,,0,,,,,,,,,,,,,,,,0,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,HOKE,False,week2,No,False,True,1,,,,,Black
3012,788,2020-04-06,No,,0.569318,Good,81,Female,2.0,None,2.0,2.0,No,,0.0,Yes,Yes,Yes,Yes,Yes,9.0,Yes,No,No,Most are underestimating the risks,Small changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week2,Yes,False,True,1,0.0,0.0,0.0,0.0,White
3013,2922,2020-04-06,Yes,Yes,0.24006100000000002,Good,70,Female,1.0,None,,,,,,,,,,,,,,,,,,,,0,Black,IVR,Black,567.0,5.0,4.0,Democrat,3.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,BUNCOMBE,False,week2,No,False,True,1,,,,,Black
3014,2923,2020-04-06,Yes,Yes,0.590448,Very Good,63,Male,2.0,None,1.0,1.0,No,,0.0,Yes,Yes,,,,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,HARNETT,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
3015,2924,2020-04-06,Yes,Yes,0.24354699999999999,Fair,65,Female,2.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,,0,White,IVR,Caucasian,517.0,5.0,3.0,Republican,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,CLEVELAND,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
3016,2925,2020-04-06,Yes,Yes,0.63225,Poor,76,Female,2.0,None,2.0,1.0,Yes,,1.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,544.0,5.0,5.0,Democrat,5.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,PERQUIMANS,True,week2,No,False,True,1,1.0,1.0,1.0,1.0,White
3017,2926,2020-04-06,No,,0.602617,Very Good,71,Female,1.0,None,2.0,2.0,No,,0.0,Yes,Yes,9,9,9,9.0,Yes,Unsure,No,Most are reacting appropriately,Small changes,Yes,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,Black
3018,2927,2020-04-06,Yes,Yes,0.20422200000000001,Fair,71,Female,2.0,None,2.0,1.0,No,,1.0,Yes,Yes,,,,5.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,WILKES,True,week2,No,False,True,1,1.0,1.0,1.0,0.0,White
