,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name
1256,1257,2020-03-31,No,,0.948923,Very Good,66,Female,2.0,None,0.0,,No,,1.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1257,1258,2020-03-31,Yes,Yes,1.7883099999999998,Good,49,Male,4.0,Two,4.0,0.0,Yes,No,0.0,Yes,No,Yes,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,Yes,,Yes,Hispanic or Latino,Live,Hispanic,518.0,3.0,5.0,Other / Unaffiliated,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,FORSYTH
1258,1259,2020-03-31,Yes,Yes,1.61459,Very Good,51,Female,9.0,Three or more,0.0,,No,No,5.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Asian,Yes,Asian,Live,Other,518.0,5.0,5.0,Democrat,3.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,ALAMANCE
1259,1260,2020-03-31,No,,1.05102,Good,78,Male,2.0,None,1.0,1.0,Yes,,0.0,Yes,No,No,No,No,8.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1261,1262,2020-03-31,Yes,Yes,4.23803,Very Good,26,Female,1.0,None,9.0,0.0,Yes,,9.0,No,No,No,Yes,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,Live,Caucasian,518.0,5.0,5.0,Democrat,,3.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,GUILFORD
1262,1263,2020-03-31,Yes,Yes,0.38372,Good,71,Female,2.0,None,1.0,0.0,Yes,,0.0,Yes,No,No,No,No,6.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,Live,Black,518.0,5.0,5.0,Democrat,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,FORSYTH
1263,1264,2020-03-31,Yes,Yes,3.40982,Very Good,30,Female,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,Yes,No,White,Yes,White,Live,Caucasian,567.0,4.0,2.0,Other / Unaffiliated,3.0,5.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,1.0,BUNCOMBE
1264,1265,2020-03-31,Yes,Yes,0.504467,Good,58,Female,3.0,None,0.0,,No,,0.0,No,No,Yes,No,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,Live,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,YADKIN
1265,1266,2020-03-31,Yes,Yes,1.0795299999999999,Good,66,Female,3.0,One,9.0,4.0,Yes,Yes,9.0,Yes,No,Yes,Yes,Yes,9.0,No,Yes,Unsure,Most are underestimating the risks,Large changes,Yes,Yes,,Yes,Hispanic or Latino,Live,Caucasian,518.0,5.0,5.0,Democrat,5.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,GUILFORD
1266,1267,2020-03-31,No,,0.271379,Good,84,Female,3.0,None,0.0,,No,,0.0,Yes,No,No,No,No,5.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1267,1268,2020-03-31,No,,1.50641,Good,25,Female,3.0,None,9.0,9.0,Yes,,9.0,No,Yes,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1268,1269,2020-03-31,Yes,Yes,1.57194,Good,53,Male,4.0,Two,0.0,,No,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,Caucasian,518.0,5.0,5.0,Other / Unaffiliated,2.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,GUILFORD
1269,1270,2020-03-31,Yes,Yes,1.71375,Fair,18,Female,3.0,None,0.0,,Yes,,2.0,Yes,Yes,No,No,No,,Yes,No,No,Most are underestimating the risks,Small changes,No,Yes,,No,Hispanic or Latino,Live,Hispanic,518.0,5.0,3.0,Other / Unaffiliated,,,3.0,,2.0,,,,,,,,,,1.0,2.0,1.0,FORSYTH
1270,1271,2020-03-31,Yes,Yes,0.373585,Good,71,Male,2.0,None,2.0,2.0,No,,0.0,No,Yes,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,No real changes,No,No,White,Yes,White,Live,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,DAVIDSON
1271,1272,2020-03-31,Yes,Yes,1.14188,Very Good,53,Female,2.0,None,1.0,1.0,Yes,,0.0,Yes,No,Yes,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,Caucasian,545.0,1.0,5.0,Republican,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,CRAVEN
1272,1273,2020-03-31,Yes,Yes,4.694030000000001,Good,44,Male,5.0,One,1.0,1.0,Yes,No,0.0,Yes,Yes,No,No,No,9.0,Yes,No,Yes,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,Live,Hispanic,518.0,5.0,3.0,Democrat,,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,,,4.0,1.0,2.0,1.0,RANDOLPH
1273,1274,2020-03-31,Yes,Yes,1.41924,Very Good,55,Female,2.0,None,8.0,3.0,No,,0.0,Yes,Yes,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,Live,Caucasian,518.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,GUILFORD
1274,1275,2020-03-31,Yes,Yes,0.5587449999999999,Good,63,Male,2.0,None,6.0,6.0,Yes,,2.0,Yes,No,Yes,Yes,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,518.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,GUILFORD
1275,1276,2020-03-31,Yes,Yes,0.337294,Good,68,Female,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,5.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,Live,Caucasian,518.0,1.0,5.0,Republican,2.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,DAVIDSON
1276,1277,2020-03-31,No,,5.34012,Fair,37,Male,3.0,One,0.0,,Yes,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,Black,Yes,Black,Live,,,,,,,,,,,,,,,,,,,,,,,
1277,1278,2020-03-31,No,,1.57194,Very Good,54,Male,1.0,None,6.0,4.0,No,,0.0,No,No,No,No,No,4.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,Yes,No,White,No,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1278,1279,2020-03-31,Yes,Yes,1.3424200000000002,Good,26,Male,2.0,None,9.0,6.0,Yes,,0.0,Yes,Yes,Yes,No,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,Yes,White,Live,Caucasian,550.0,1.0,5.0,Other / Unaffiliated,,3.0,3.0,2.0,4.0,3.0,2.0,,4.0,,,,,3.0,2.0,4.0,1.0,NEW HANOVER
1279,1280,2020-03-31,No,,1.05673,Good,64,Female,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1280,1281,2020-03-31,Yes,Yes,0.504467,Good,63,Female,4.0,Two,0.0,,Yes,No,0.0,Yes,No,No,No,No,5.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,518.0,1.0,5.0,Republican,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,FORSYTH
1281,1282,2020-03-31,Yes,Yes,0.373585,Fair,89,Male,2.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,No,White,Live,Caucasian,518.0,5.0,5.0,Democrat,4.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,FORSYTH
1282,1283,2020-03-31,Yes,Yes,0.373585,Fair,75,Male,2.0,None,3.0,3.0,No,,0.0,Yes,No,No,Yes,No,6.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,518.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,FORSYTH
1283,1284,2020-03-31,Yes,No,0.635652,Fair,63,Male,1.0,None,9.0,0.0,Yes,,0.0,No,No,No,No,Yes,9.0,Yes,No,No,Most are overreacting to the actual risks,Large changes,No,No,Black,Yes,Black,Live,Black,518.0,5.0,,Other / Unaffiliated,,3.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,
1284,1285,2020-03-31,No,,0.337294,Fair,73,Female,2.0,None,0.0,,No,,3.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Small changes,No,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1285,1286,2020-03-31,Yes,Yes,0.337294,Very Good,83,Female,,,,,No,,2.0,No,No,No,No,No,2.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,No,White,Live,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,DAVIDSON
1286,1287,2020-03-31,Yes,Yes,0.5587449999999999,Good,52,Male,5.0,None,4.0,4.0,Yes,,0.0,Yes,No,Yes,No,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,518.0,1.0,4.0,Republican,,2.0,3.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,GUILFORD
1287,1288,2020-03-31,Yes,Yes,1.71375,Good,37,Female,7.0,Three or more,2.0,0.0,Yes,No,1.0,No,No,No,No,Yes,9.0,Yes,No,No,Most are underestimating the risks,Small changes,No,No,Black,Yes,Black,Live,Black,518.0,5.0,5.0,Democrat,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,GUILFORD
1288,1289,2020-03-31,Yes,Yes,0.373585,Good,80,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,7.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,Live,Caucasian,518.0,2.0,5.0,Other / Unaffiliated,3.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,FORSYTH
1289,1290,2020-03-31,No,,1.19569,Very Good,69,Male,2.0,None,1.0,0.0,No,,0.0,Yes,Yes,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,Black,No,Black,Live,,,,,,,,,,,,,,,,,,,,,,,
1290,1291,2020-03-31,Yes,No,0.337294,Good,73,Female,2.0,None,0.0,,Yes,,0.0,No,No,No,No,No,6.0,Yes,No,No,Most are underestimating the risks,Small changes,No,No,White,Yes,White,Live,Caucasian,518.0,1.0,,Other / Unaffiliated,,3.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,,,2.0,1.0,4.0,4.0,
1291,1292,2020-03-31,Yes,No,0.5587449999999999,Good,51,Male,3.0,None,3.0,3.0,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,518.0,3.0,,Other / Unaffiliated,,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,
1292,1293,2020-03-31,Yes,Yes,0.889592,Good,71,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,3.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,Live,Caucasian,517.0,5.0,2.0,Other / Unaffiliated,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,5.0,4.0,1.0,2.0,3.0,GASTON
1293,1294,2020-03-31,No,,1.5272,Good,31,Male,2.0,None,0.0,,No,,1.0,Yes,No,No,No,Yes,4.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,No,Black,Live,,,,,,,,,,,,,,,,,,,,,,,
1294,1295,2020-03-31,No,,0.5380199999999999,Good,62,Male,2.0,None,3.0,2.0,Yes,,0.0,No,No,No,Yes,No,9.0,Yes,No,Unsure,Most are reacting appropriately,No real changes,No,No,Another race,No,Another race,Live,,,,,,,,,,,,,,,,,,,,,,,
1295,1296,2020-03-31,No,,1.41222,Good,21,Male,2.0,None,2.0,0.0,No,,3.0,No,No,No,No,Yes,9.0,Yes,No,Yes,Most are overreacting to the actual risks,Small changes,No,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1296,1297,2020-03-31,Yes,Yes,3.7767,Good,35,Male,6.0,Three or more,0.0,,No,No,0.0,Yes,No,No,No,No,8.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,Caucasian,550.0,1.0,5.0,Republican,,4.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,,1.0,2.0,2.0,5.0,1.0,BRUNSWICK
1297,1298,2020-03-31,Yes,Yes,3.58987,Very Good,22,Female,1.0,None,9.0,0.0,Yes,,3.0,No,Yes,Yes,Yes,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,Yes,Yes,,Yes,Hispanic or Latino,Live,Hispanic,560.0,5.0,4.0,Democrat,,3.0,2.0,2.0,2.0,4.0,2.0,,3.0,,,,,4.0,1.0,1.0,1.0,CUMBERLAND
1299,1300,2020-03-31,No,,0.889592,Very Good,74,Male,2.0,None,0.0,,No,,2.0,Yes,No,No,No,No,9.0,Yes,No,No,,Large changes,Yes,No,White,No,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1300,1301,2020-03-31,Yes,Yes,1.41331,Good,41,Male,1.0,None,1.0,1.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,Black,No,Black,Live,Black,560.0,5.0,4.0,Other / Unaffiliated,,3.0,2.0,2.0,3.0,3.0,2.0,,4.0,,,,,3.0,1.0,2.0,1.0,WAKE
1301,1302,2020-03-31,No,,1.21202,Fair,18,Female,3.0,None,4.0,4.0,No,,0.0,Yes,Yes,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,No real changes,No,No,White,No,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1302,1303,2020-03-31,No,,0.308732,Very Good,78,Female,2.0,None,3.0,4.0,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,Yes,,Yes,Hispanic or Latino,Live,,,,,,,,,,,,,,,,,,,,,,,
1303,1304,2020-03-31,Yes,Yes,0.803175,Fair,76,Female,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,,Large changes,Yes,No,White,Yes,White,Live,Caucasian,517.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,5.0,4.0,MECKLENBURG
1304,1305,2020-03-31,Yes,Yes,1.01204,Very Good,71,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,Yes,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,Live,Black,517.0,5.0,3.0,Other / Unaffiliated,,,3.0,,3.0,,,,,,,,,,1.0,2.0,4.0,UNION
1305,1306,2020-03-31,Yes,Yes,1.3424200000000002,Very Good,30,Male,2.0,None,9.0,9.0,Yes,,0.0,No,No,No,Yes,Yes,9.0,Yes,No,No,Most are overreacting to the actual risks,No real changes,No,No,White,Yes,White,Live,Caucasian,545.0,1.0,5.0,Other / Unaffiliated,,3.0,2.0,2.0,2.0,2.0,2.0,,4.0,,,,,4.0,1.0,4.0,1.0,GREENE
1306,1307,2020-03-31,Yes,Yes,3.1555400000000002,Very Good,33,Female,8.0,Three or more,0.0,,Yes,No,1.0,Yes,No,No,No,No,8.0,Yes,No,Yes,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,Caucasian,560.0,2.0,5.0,Other / Unaffiliated,,3.0,3.0,2.0,5.0,3.0,2.0,,4.0,,,,,3.0,2.0,3.0,1.0,WAKE
1307,1308,2020-03-31,Yes,Yes,1.14188,Very Good,55,Female,2.0,None,2.0,2.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,No,White,Live,Caucasian,567.0,5.0,3.0,Democrat,,,3.0,,4.0,,,,,,,,,,2.0,2.0,1.0,BUNCOMBE
1309,1310,2020-03-31,Yes,Yes,3.1555400000000002,Very Good,33,Female,2.0,One,0.0,,No,No,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,Caucasian,560.0,1.0,5.0,Republican,,2.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,,,,,2.0,2.0,5.0,1.0,JOHNSTON
1310,1311,2020-03-31,Yes,Yes,3.1555400000000002,Good,39,Female,2.0,One,1.0,1.0,No,No,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,Live,Caucasian,560.0,5.0,5.0,Other / Unaffiliated,3.0,3.0,2.0,2.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,DURHAM
1311,1312,2020-03-31,Yes,Yes,0.42698500000000006,Good,63,Female,2.0,None,1.0,1.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Small changes,No,No,White,Yes,White,Live,Caucasian,517.0,1.0,5.0,Republican,,,4.0,,3.0,,,,,,,,,,1.0,5.0,2.0,CABARRUS
1312,1313,2020-03-31,Yes,Yes,1.26475,Very Good,57,Male,5.0,Two,5.0,5.0,Yes,Yes,0.0,Yes,No,No,No,No,6.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,Caucasian,550.0,1.0,5.0,Republican,2.0,4.0,2.0,1.0,5.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,NEW HANOVER
1313,1314,2020-03-31,Yes,Yes,1.3424200000000002,Good,34,Male,2.0,None,9.0,9.0,Yes,,9.0,No,No,Yes,Yes,No,9.0,Yes,Yes,Yes,Most are underestimating the risks,Large changes,No,No,White,Yes,White,Live,Caucasian,550.0,3.0,4.0,Other / Unaffiliated,,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,NEW HANOVER
1314,1315,2020-03-31,No,,3.9761300000000004,Good,39,Male,5.0,Three or more,9.0,6.0,No,No,0.0,Yes,No,No,No,No,7.0,Yes,No,No,,Large changes,Yes,Yes,,Yes,Hispanic or Latino,Live,,,,,,,,,,,,,,,,,,,,,,,
1315,1316,2020-03-31,Yes,Yes,0.251141,Good,80,Female,4.0,None,0.0,,Yes,,1.0,Yes,Yes,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,Live,Caucasian,560.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,HARNETT
1317,1318,2020-03-31,No,,1.3424200000000002,Good,42,Male,4.0,Two,9.0,9.0,Yes,No,0.0,Yes,No,Yes,No,No,9.0,Yes,No,Yes,,Large changes,No,No,White,No,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1318,1319,2020-03-31,Yes,Yes,3.1555400000000002,Good,23,Female,1.0,None,1.0,1.0,Yes,,0.0,No,No,Yes,No,No,6.0,Yes,No,Yes,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,Live,Caucasian,560.0,4.0,5.0,Other / Unaffiliated,,3.0,3.0,1.0,2.0,3.0,1.0,,3.0,,,,,3.0,1.0,2.0,1.0,CUMBERLAND
1319,1320,2020-03-31,Yes,Yes,0.285488,Very Good,74,Female,1.0,None,2.0,2.0,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,517.0,1.0,3.0,Republican,,,3.0,,4.0,,,,,,,,,,1.0,4.0,4.0,MECKLENBURG
1320,1321,2020-03-31,Yes,Yes,3.5871,Very Good,38,Female,3.0,Two,9.0,0.0,Yes,No,0.0,Yes,No,No,No,No,9.0,Yes,Yes,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,Live,Caucasian,517.0,2.0,3.0,Republican,,3.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,2.0,2.0,,,3.0,2.0,4.0,1.0,UNION
1321,1322,2020-03-31,No,,1.20125,Very Good,61,Female,1.0,One,0.0,,No,No,0.0,No,No,Yes,No,No,9.0,Yes,No,Yes,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,,,,,,,,,,,,,,,,,,,,,,,
1322,1323,2020-03-31,Yes,No,3.7767,Very Good,32,Male,2.0,None,1.0,0.0,Yes,,0.0,No,No,No,No,No,6.0,Yes,No,No,Most are underestimating the risks,Small changes,Yes,No,White,Yes,White,Live,Caucasian,550.0,3.0,,Other / Unaffiliated,,3.0,2.0,2.0,3.0,3.0,2.0,,3.0,,,,,3.0,2.0,2.0,1.0,
1323,1324,2020-03-31,Yes,Yes,1.1704299999999999,Very Good,53,Male,4.0,Two,1.0,1.0,Yes,Yes,0.0,Yes,Yes,No,No,No,5.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,Live,Caucasian,560.0,2.0,5.0,Other / Unaffiliated,2.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,ORANGE
1324,1325,2020-03-31,Yes,Yes,3.49506,Very Good,40,Male,4.0,One,0.0,,No,No,2.0,Yes,No,No,No,No,8.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,Live,Caucasian,560.0,3.0,3.0,Other / Unaffiliated,,3.0,1.0,2.0,5.0,3.0,2.0,,4.0,,,,,3.0,2.0,2.0,1.0,DURHAM
1325,1326,2020-03-31,Yes,Yes,1.3305,Good,47,Male,5.0,Three or more,5.0,5.0,Yes,No,0.0,Yes,No,Yes,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,,No,White,Live,Caucasian,517.0,1.0,5.0,Republican,,3.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,,,2.0,2.0,5.0,1.0,CALDWELL
1326,1327,2020-03-31,Yes,Yes,0.316205,Good,65,Male,2.0,None,5.0,0.0,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,No,White,Live,Caucasian,517.0,3.0,5.0,Other / Unaffiliated,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,MECKLENBURG
1327,1328,2020-03-31,No,,4.080830000000001,Good,27,Female,3.0,None,0.0,,No,,0.0,Yes,No,No,No,No,8.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,Live,,,,,,,,,,,,,,,,,,,,,,,
1328,1329,2020-03-31,Yes,Yes,1.2750299999999999,Very Good,20,Female,4.0,One,0.0,,Yes,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,517.0,1.0,5.0,Republican,,,3.0,,3.0,,,,,,,,,,1.0,5.0,1.0,UNION
1329,1330,2020-03-31,Yes,No,1.41222,Good,43,Male,,None,5.0,5.0,Yes,,7.0,No,No,Yes,Yes,No,4.0,Yes,No,Yes,Most are reacting appropriately,Large changes,No,No,White,Yes,White,Live,Caucasian,517.0,2.0,,Other / Unaffiliated,,3.0,3.0,2.0,3.0,3.0,2.0,,3.0,,,,,3.0,1.0,3.0,1.0,
1330,1331,2020-03-31,Yes,Yes,1.3666,Good,46,Female,5.0,Three or more,0.0,,Yes,Yes,0.0,No,No,No,No,No,8.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,Live,Black,517.0,5.0,5.0,Democrat,3.0,4.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,MECKLENBURG
1331,1332,2020-03-31,Yes,Yes,0.889592,Good,82,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,Yes,No,White,No,White,Live,Caucasian,517.0,1.0,5.0,Republican,3.0,2.0,5.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,STANLY
