,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name
593,594,2020-03-30,Yes,Yes,1.3666,Good,53,Female,3.0,None,7.0,0.0,No,,5.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,Black,No,Black,IVR,Black,517.0,5.0,5.0,Democrat,3.0,3.0,4.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,CLEVELAND
594,595,2020-03-30,Yes,Yes,0.285709,Good,65,Female,1.0,None,0.0,,Yes,,,,,Yes,,,9.0,Yes,No,No,Most are overreacting to the actual risks,Small changes,No,No,Black,No,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,EDGECOMBE
597,598,2020-03-30,No,,1.21202,Very Good,20,Female,4.0,None,4.0,4.0,Yes,,9.0,Yes,No,No,,,9.0,No,No,No,Most are overreacting to the actual risks,Unsure,No,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
601,602,2020-03-30,Yes,Yes,1.57194,Very Good,57,Male,2.0,None,9.0,2.0,Yes,,1.0,Yes,No,Yes,Yes,No,9.0,Yes,No,Yes,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,2.0,1.0,3.0,1.0,5.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,ALAMANCE
602,603,2020-03-30,Yes,Yes,0.278163,Good,65,Male,3.0,One,4.0,1.0,No,Yes,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,No,White,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,CUMBERLAND
603,604,2020-03-30,Yes,Yes,0.271379,Good,76,Female,2.0,None,3.0,3.0,No,,1.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,570.0,5.0,5.0,Democrat,4.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,SCOTLAND
604,605,2020-03-30,Yes,Yes,1.05102,Very Good,90,Male,3.0,None,0.0,,No,,0.0,Yes,,,,,3.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,No,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,GUILFORD
605,606,2020-03-30,Yes,Yes,0.868567,Good,69,Female,1.0,None,2.0,2.0,No,,0.0,Yes,No,No,No,,9.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,Black,Yes,Black,IVR,Black,550.0,5.0,5.0,Democrat,5.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,BLADEN
606,607,2020-03-30,Yes,Yes,0.405882,Fair,53,Female,4.0,Two,0.0,,Yes,No,0.0,Yes,,,,,9.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,White,Yes,White,IVR,Caucasian,550.0,5.0,5.0,Democrat,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,BRUNSWICK
609,610,2020-03-30,Yes,Yes,0.316205,Very Good,89,Male,3.0,None,3.0,3.0,No,,0.0,Yes,Yes,,,,7.0,Yes,No,No,Most are reacting appropriately,Unsure,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Other / Unaffiliated,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,MECKLENBURG
610,611,2020-03-30,Yes,Yes,0.449553,Good,55,Male,3.0,None,1.0,2.0,No,,1.0,Yes,,,9,,4.0,No,No,No,Most are reacting appropriately,No real changes,No,No,White,Yes,White,IVR,Caucasian,545.0,5.0,5.0,Democrat,5.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,PITT
612,613,2020-03-30,Yes,Yes,0.31645,Very Good,65,Male,2.0,None,4.0,3.0,Yes,,0.0,Yes,No,No,No,Yes,4.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Black,No,Black,IVR,Black,560.0,5.0,5.0,Other / Unaffiliated,3.0,4.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,CUMBERLAND
613,614,2020-03-30,No,,0.251141,Fair,79,Female,2.0,None,6.0,6.0,Unsure,,2.0,No,Yes,Yes,No,Yes,9.0,Yes,No,No,Most are overreacting to the actual risks,No real changes,No,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
615,616,2020-03-30,No,,0.300578,Good,78,Male,4.0,One,0.0,,Yes,No,0.0,Yes,No,No,No,No,9.0,No,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
616,617,2020-03-30,Yes,Yes,0.889592,Good,81,Male,1.0,None,3.0,3.0,No,,0.0,No,Yes,No,No,,7.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,CATAWBA
619,620,2020-03-30,Yes,Yes,0.504467,Poor,54,Female,3.0,None,0.0,,Yes,,0.0,Yes,,,,3,9.0,Yes,Yes,Unsure,Most are reacting appropriately,No real changes,No,No,White,Yes,White,IVR,Caucasian,518.0,3.0,3.0,Other / Unaffiliated,,2.0,3.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,1.0,,,3.0,1.0,4.0,1.0,YADKIN
620,621,2020-03-30,Yes,Yes,0.472926,Good,63,Male,2.0,None,1.0,1.0,Yes,,1.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,White,No,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,CALDWELL
625,626,2020-03-30,Yes,Yes,0.300578,Fair,81,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,3.0,Yes,No,No,Most are reacting appropriately,No real changes,No,No,White,No,White,IVR,Caucasian,545.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,BEAUFORT
626,627,2020-03-30,Yes,Yes,0.845627,Good,81,Male,2.0,None,2.0,1.0,No,,0.0,Yes,Yes,No,No,No,3.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,545.0,5.0,5.0,Democrat,,3.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0,,,3.0,1.0,1.0,5.0,PITT
628,629,2020-03-30,Yes,Yes,0.473292,Fair,52,Male,3.0,None,2.0,8.0,Yes,,0.0,Yes,Yes,Yes,Yes,No,9.0,Yes,No,3,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,CUMBERLAND
631,632,2020-03-30,Yes,Yes,0.308732,Very Good,68,Female,1.0,None,9.0,4.0,,,0.0,No,No,No,No,Yes,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,Black,Yes,Black,IVR,Black,570.0,5.0,5.0,Democrat,5.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,ROBESON
633,634,2020-03-30,Yes,Yes,0.251141,Very Good,65,Female,2.0,None,3.0,6.0,Yes,,1.0,Yes,No,Yes,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,WAYNE
